"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","10","399-1142-1-ND","C0805C471K5RACTU","CAP CER 470PF 50V X7R 0805","","10","0","0.09900","0.99"
"2","10","478-9887-1-ND","08051C472K4T2A","CAP CER 4700PF 100V X7R 0805","","10","0","0.11000","1.10"
"3","10","1276-2617-1-ND","CL21C221JDCNNNC","CAP CER 220PF 200V C0G/NP0 0805","","10","0","0.18000","1.80"
"4","30","478-6048-1-ND","08055C104K4Z2A","CAP CER 0.1UF 50V X7R 0805","","30","0","0.14100","4.23"
"5","20","445-5683-1-ND","CGA4J2X7R1H224K125AA","CAP CER 0.22UF 50V X7R 0805","","20","0","0.20800","4.16"
"6","10","1276-6517-1-ND","CL21B105KLFVPNE","CAP CER 1UF 35V X7R 0805","","10","0","0.15700","1.57"
"7","10","311-3157-1-ND","AC0805KRX7R0BB103","CAP CER 10000PF 100V X7R 0805","","10","0","0.12800","1.28"
"8","10","1276-6813-1-ND","CL21B334KBFVPNE","CAP CER 0.33UF 50V X7R 0805","","10","0","0.14500","1.45"
"9","10","478-1371-1-ND","08055C102KAT2A","CAP CER 1000PF 50V X7R 0805","","10","0","0.08500","0.85"
"10","10","490-9956-1-ND","GRM21BC81C226ME44L","CAP CER 22UF 16V X6S 0805","","10","0","0.33700","3.37"
"11","10","490-12389-1-ND","GRT21BR61E226ME13L","CAP CER 22UF 25V X5R 0805","","10","0","0.49100","4.91"
"12","10","399-6986-1-ND","C0805F223K5RACAUTO","CAP CER 0.022UF 50V X7R 0805","","10","0","0.30200","3.02"
"13","10","MSS1P3L-M3/89AGICT-ND","MSS1P3L-M3/89A","DIODE SCHOTTKY 30V 1A MICROSMP","","10","0","0.30700","3.07"
"14","10","732-4983-1-ND","150080GS75000","LED GREEN CLEAR 0805 SMD","","10","0","0.17000","1.70"
"15","10","NRVTS245ESFT1GOSCT-ND","NRVTS245ESFT1G","DIODE SCHOTTKY 45V 2A SOD123FL","","10","0","0.25600","2.56"
"16","20","1727-5056-1-ND","NUP1301,215","TVS DIODE 80V 20V SOT23","","20","0","0.32600","6.52"
"17","10","732-4984-1-ND","150080RS75000","LED RED CLEAR 0805 SMD","","10","0","0.17000","1.70"
"18","10","B340A-FDICT-ND","B340A-13-F","DIODE SCHOTTKY 40V 3A SMA","","10","0","0.33900","3.39"
"19","10","732-4982-1-ND","150080BS75000","LED BLUE CLEAR 0805 SMD","","10","0","0.17000","1.70"
"20","1","S7123-ND","PPPC202LFBN-RC","CONN HDR 40POS 0.1 GOLD PCB","","1","0","2.38000","2.38"
"21","2","ED1610-ND","ED120/3DS","TERM BLK 3P SIDE ENT 5.08MM PCB","","2","0","1.11000","2.22"
"22","4","ED2231-ND","ED120/10DS","TERM BLK 10P SIDE ENT 5.08MM PCB","","4","0","3.17000","12.68"
"23","2","ED2232-ND","ED120/12DS","TERM BLK 12P SIDE ENT 5.08MM PCB","","2","0","3.40000","6.80"
"24","50","S9337-ND","QPC02SXGN-RC","CONN JUMPER SHORTING .100"" GOLD","","50","0","0.03780","1.89"
"25","5","445-6396-1-ND","MLZ2012M100WT000","FIXED IND 10UH 350MA 470 MOHM","","5","0","0.14000","0.70"
"26","5","SRR1260-470MCT-ND","SRR1260-470M","FIXED IND 47UH 2.6A 86 MOHM SMD","","5","0","1.25000","6.25"
"27","10","478-1773-1-ND","TPSC476K016R0350","CAP TANT 47UF 10% 16V 2312","","10","0","0.58900","5.89"
"28","10","490-12438-1-ND","GRT31CR61A476KE13L","CAP CER 47UF 10V X5R 1206","","10","0","0.70000","7.00"
"29","3","2N7002NCT-ND","2N7002","MOSFET N-CH 60V 115MA SOT-23","","3","0","0.39000","1.17"
"30","3","SQ3457EV-T1_GE3CT-ND","SQ3457EV-T1_GE3","MOSFET P-CHANNEL 30V 6.8A 6TSOP","","3","0","0.77000","2.31"
"31","10","311-1.00MCRCT-ND","RC0805FR-071ML","RES SMD 1M OHM 1% 1/8W 0805","","10","0","0.04200","0.42"
"32","10","P2.49KDACT-ND","ERA-6AEB2491V","RES SMD 2.49K OHM 0.1% 1/8W 0805","","10","0","0.30200","3.02"
"33","20","311-470ARCT-ND","RC0805JR-07470RL","RES SMD 470 OHM 5% 1/8W 0805","","20","0","0.03600","0.72"
"34","10","311-750ARCT-ND","RC0805JR-07750RL","RES SMD 750 OHM 5% 1/8W 0805","","10","0","0.03600","0.36"
"35","10","311-150CRCT-ND","RC0805FR-07150RL","RES SMD 150 OHM 1% 1/8W 0805","","10","0","0.04200","0.42"
"36","10","P3.9KDACT-ND","ERA-6AEB392V","RES SMD 3.9K OHM 0.1% 1/8W 0805","","10","0","0.30200","3.02"
"37","10","P1.0KDACT-ND","ERA-6AEB102V","RES SMD 1K OHM 0.1% 1/8W 0805","","10","0","0.30200","3.02"
"38","20","311-10.0KCRCT-ND","RC0805FR-0710KL","RES SMD 10K OHM 1% 1/8W 0805","","20","0","0.04200","0.84"
"39","10","P47.5KCCT-ND","ERJ-6ENF4752V","RES SMD 47.5K OHM 1% 1/8W 0805","","10","0","0.08100","0.81"
"40","10","P26.1KCCT-ND","ERJ-6ENF2612V","RES SMD 26.1K OHM 1% 1/8W 0805","","10","0","0.08100","0.81"
"41","10","RMCF0805JT22K0CT-ND","RMCF0805JT22K0","RES 22K OHM 5% 1/8W 0805","","10","0","0.02000","0.20"
"42","10","311-33.0KCRCT-ND","RC0805FR-0733KL","RES SMD 33K OHM 1% 1/8W 0805","","10","0","0.04200","0.42"
"43","10","311-4.70KCRCT-ND","RC0805FR-074K7L","RES SMD 4.7K OHM 1% 1/8W 0805","","10","0","0.04200","0.42"
"44","10","P3.74KCCT-ND","ERJ-6ENF3741V","RES SMD 3.74K OHM 1% 1/8W 0805","","10","0","0.08100","0.81"
"45","10","P200CCT-ND","ERJ-6ENF2000V","RES SMD 200 OHM 1% 1/8W 0805","","10","0","0.08100","0.81"
"46","10","P910ACT-ND","ERJ-6GEYJ911V","RES SMD 910 OHM 5% 1/8W 0805","","10","0","0.06100","0.61"
"47","10","P309CCT-ND","ERJ-6ENF3090V","RES SMD 309 OHM 1% 1/8W 0805","","10","0","0.08100","0.81"
"48","2","ATMEGA2561-16AURCT-ND","ATMEGA2561-16AUR","IC MCU 8BIT 256KB FLASH 64TQFP","","2","0","12.22000","24.44"
"49","1","MPX4250AP-ND","MPX4250AP","SENSOR ABS PRESS 36.3 PSI MAX","","1","0","19.62000","19.62"
"50","4","296-23952-1-ND","SN74LVC2T45MDCTTEP","IC TRNSLTR BIDIRECTIONAL SM8","","4","0","1.67000","6.68"
"51","5","DRV103H-ND","DRV103H","IC PWM LO-SIDE DRVR 8SOPWRPAD","","5","0","5.31000","26.55"
"52","2","MCP2003BT-E/SNCT-ND","MCP2003BT-E/SN","IC TRANSCEIVER LIN 8SOIC","","2","0","0.69000","1.38"
"53","2","TLE8366EV50XUMA1CT-ND","TLE8366EV50XUMA1","IC REG BUCK 5V 1.8A 8DSO","","2","0","2.73000","5.46"
"54","2","497-1243-1-ND","LD1117S50CTR","IC REG LINEAR 5V 800MA SOT223","","2","0","0.43000","0.86"
"55","2","490-17948-1-ND","CSTNE16M0V530000R0","CER RES 16.0000MHZ 15PF SMD","","2","0","0.29000","0.58"
"56","5","1772-4097-ND","M0596-4-AL","8MM RD X 7MM X 4.3MM ID","","5","0","0.82000","4.10"
